=,&equals;
\mgreek{k},&kgr;
\mgreek{K},&Kgr;
\mgreek{l},&lgr;
\mgreek{L},&Lgr;
\mgreek{m},&mgr;
\mgreek{M},&Mgr;
\mgreek{n},&ngr;
\mgreek{N},&Ngr;
\mgreek{x},&xgr;
\mgreek{X},&Xgr;
\mgreek{o},&ogr;
\mgreek{O},&Ogr;
\mgreek{p},&pgr;
\mgreek{P},&Pgr;
\mgreek{r},&rgr;
\mgreek{R},&Rgr;
\mgreek{s},&sgr;
\mgreek{S},&Sgr;
\mgreek{c},&sfgr;
\mgreek{t},&tgr;
\mgreek{T},&Tgr;
\mgreek{u},&ugr;
\mgreek{U},&Ugr;
\mgreek{f},&phgr;
\mgreek{F},&PHgr;
\mgreek{q},&khgr;
\mgreek{Q},&KHgr;
\mgreek{y},&psgr;
\mgreek{Y},&PSgr;
\mgreek{w},&ohgr;
\mgreek{W},&OHgr;
\mgreek{'a},&aacgr;
\mgreek{'A},&Aacgr;
\mgreek{'e},&eacgr;
\mgreek{'E},&Eacgr;
\mgreek{'h},&eeacgr;
\mgreek{'H},&EEacgr;
"\mgreek{""i}",&idigr;
"\mgreek{""I}",&Idigr;
\mgreek{'i},&iacgr;
\mgreek{'I},&Iacgr;
"\mgreek{""'i}",&idiagr;
\mgreek{'o},&oacgr;
\mgreek{'O},&Oacgr;
"\mgreek{""u}",&udigr;
"\mgreek{""U}",&Udigr;
\mgreek{'u},&uacgr;
\mgreek{'U},&Uacgr;
"\mgreek{""'u}",&udiagr;
\mgreek{'w},&ohacgr;
\mgreek{'W},&OHacgr;
``,&ldquo;
'',&rdquo;
